TIPO_REG,PAIS,P_DEPTO,P_MUNIC,UC_UO,ENCUESTA,COD_VEREDA,P_S7PNUMPEZ,P_S7P96,P_S7P97,P_S7P98,P_S7P99,P_S7P100
7,170,20,20001,00000000,003476521,20001010,1,41199900,0,0,0,0
7,170,20,20001,00300001,000100941,20001005,2,41190300,2,500,15,15
7,170,20,20001,00410000,082033743,20001009,18,41190300,1,300,400,120
7,170,20,20001,00410000,082033743,20001009,28,41190400,1,300,300,90
7,170,20,20001,00410001,000624837,20001009,2,41190300,10,400,4,16
7,170,20,20001,00720001,000100070,20001001,1,41190300,1,400,2,0.8
7,170,20,20001,01090000,003507213,20001008,1,41180201,0,0,0,0
7,170,20,20001,03250000,002034086,20001006,1,41190300,0,0,0,0
7,170,20,20001,03250000,002034086,20001006,2,41190600,2,50,25,2.5
7,170,20,20001,03410001,000623269,20001011,2,41190300,0,0,0,0
7,170,20,20001,03700001,000100272,20001009,1,41190300,1,500,10,5
7,170,20,20001,04050001,000099763,20001012,1,41190600,0,0,0,0
7,170,20,20001,04270001,000100229,20001999,1,41190300,9,2500,2.7,60.75
7,170,20,20001,04810001,000100909,20001012,1,41190300,2,1200,20,48
7,170,20,20001,06120000,002034668,20001007,1,41199900,0,0,0,0
7,170,20,20001,06760001,000100613,20001009,3,41190400,9,1000,5,45
7,170,20,20001,11890000,003470703,20001010,1,41190400,2,12000,15,360
7,170,20,20001,11900000,003503339,20001000,1,41190400,1,15,500,7.5
7,170,20,20001,11940001,000100955,20001012,2,41190400,2,100,5.5,1.1
7,170,20,20001,16690000,003473270,20001999,1,41190300,2,50,2000,200
7,170,20,20001,16690000,003473270,20001999,2,41190600,2,50,2000,200
7,170,20,20001,16690000,003473302,20001999,1,41190300,0,0,0,0
7,170,20,20001,16690000,003473302,20001999,2,41190600,0,0,0,0
7,170,20,20001,16690000,003473305,20001999,1,41190300,0,0,0,0
7,170,20,20001,16690000,003473421,20001999,1,41199900,2,100,250,50
7,170,20,20001,16690000,003473426,20001999,1,41180201,2,30,1000,60
7,170,20,20001,16690000,003473426,20001999,2,41199900,3,300,250,225
7,170,20,20001,16690000,003473491,20001999,1,41190300,0,0,0,0
7,170,20,20001,16690000,003484579,20001999,1,41190300,2,600,400,480
7,170,20,20001,16690000,003485544,20001999,1,41190300,1,80,500,40
7,170,20,20001,16690000,003485599,20001999,1,41190300,1,20,500,10
7,170,20,20001,16690000,003502881,20001999,1,41190300,1,100,500,50
7,170,20,20001,16690000,003502929,20001999,1,41190300,5,500,400,1000
7,170,20,20001,16690000,003502938,20001999,1,41190400,2,200,500,200
7,170,20,20001,16690000,003502953,20001999,1,41190300,7,150,500,525
7,170,20,20001,16690000,003502964,20001999,1,41190300,1,1000,800,800
7,170,20,20001,16690000,003502987,20001999,1,41190300,1,80,500,40
7,170,20,20001,16690000,003502989,20001999,1,41190300,1,300,500,150
7,170,20,20001,16690000,003502990,20001999,1,41190300,2,40,500,40
7,170,20,20001,16690000,003502992,20001999,1,41190300,1,30,500,15
7,170,20,20001,16690000,003503008,20001999,1,41190400,8,300,100,240
